name	sex	total	realFreq	cinemaFreq	ratio	
James	M	5150472	1.47950831636849	0.435105983209057	0.772744837795758	True
John	M	5115466	1.46945260339252	1.03490995134886	0.586757137304454	True
Robert	M	4814815	1.38308854688964	0.431983746527906	0.762001905877514	True
Michael	M	4350824	1.24980395797815	0.5033491563828	0.712889220992955	True
Mary	F	4123200	1.18441740680283	0.50268010566541	0.702044427218683	True
William	M	4102604	1.17850106490563	0.274645319488444	0.810999550741776	True
David	M	3611329	1.03737896034436	0.594451562400688	0.635714889435511	True
Joseph	M	2603445	0.747857386411959	0.167708713159001	0.816825117009476	True
Richard	M	2563082	0.736262838538758	0.352032185799845	0.676528718842772	True
Charles	M	2386048	0.685408610949524	0.296054942444912	0.698353605265328	True
Thomas	M	2304948	0.662112081144588	0.321924903517311	0.672852841371689	True
Christopher	M	2022164	0.580880442619818	0.0708078675904027	0.891347034339834	True
Daniel	M	1907357	0.547901346475364	0.277767556169595	0.663584815560098	True
Elizabeth	F	1629679	0.46813644138073	0.181424252865488	0.720696996489263	True
Matthew	M	1590440	0.456864770196811	0.091436931376583	0.833236097728317	True
Patricia	F	1571692	0.451479278941781	0.0904333553004985	0.833121891636748	True
Jennifer	F	1466281	0.421199248075344	0.155331274887293	0.730575800065039	True
George	M	1464186	0.420597444993453	0.452724318766984	0.481606507986704	False
Linda	F	1452249	0.41716846008246	0.196923927818348	0.679325242099962	True
Barbara	F	1434060	0.411943545401548	0.191125488267638	0.683078590348448	True
Anthony	M	1432718	0.411558046720929	0.108497724670019	0.791372905294697	True
Donald	M	1410998	0.405318828134453	0.0781674254816886	0.838325443801038	True
Paul	M	1386815	0.398372095948599	0.591775359531129	0.402336130587325	False
Mark	M	1349865	0.387757955673724	0.336644019299883	0.53528009181346	True
Edward	M	1288725	0.370195072415108	0.137712939329366	0.728862439368945	True
Andrew	M	1283910	0.368811930725703	0.148194733901803	0.71336010918046	True
Steven	M	1280424	0.367810553377984	0.098015930097581	0.789587038147172	True
Kenneth	M	1272659	0.365580004007635	0.0375783486267176	0.906790102744567	True
Margaret	F	1246649	0.358108453573278	0.126562094039539	0.738869847439865	True
Joshua	M	1202454	0.345413137485373	0.0470565671230708	0.880101402552796	True
Kevin	M	1166731	0.335151461354402	0.190010403738655	0.638186973639097	True
Brian	M	1163937	0.334348865740654	0.18521554026403	0.643517650317331	True
Susan	F	1121440	0.322141311768763	0.210193433713243	0.605148009786733	True
Dorothy	F	1107096	0.318020899641488	0.0705848506846061	0.818363854303814	True
Ronald	M	1078011	0.309666034421062	0.0373553317209211	0.892354375362475	True
Sarah	F	1073895	0.308483685263515	0.391283161220036	0.440837811642119	False
Timothy	M	1068556	0.306950020989426	0.0359057218332436	0.895274550346924	True
Jessica	F	1044939	0.300165876175577	0.152766580470633	0.662716640794942	True
Jason	M	1028809	0.29553242333028	0.206402146314701	0.588786748717687	True
Helen	F	1018290	0.292510768619823	0.226027634024797	0.564106278586072	True
Nancy	F	1002010	0.287834227248376	0.1419502605395	0.66971758038517	True
Betty	F	999474	0.287105743899605	0.158230494662648	0.64469432091696	True
Karen	F	985655	0.283136141613854	0.168600780782187	0.626772193231587	True
Jeffrey	M	973741	0.279713763610204	0.0392509754201917	0.876942587636776	True
Lisa	F	964973	0.277195095628334	0.271300065901496	0.505373821083851	True
Ryan	M	924877	0.265677245331679	0.128123212380114	0.674649407152588	True
Jacob	M	919481	0.264127207417654	0.103591352742495	0.718286309243192	True
Frank	M	910332	0.261499094579364	0.515838103107406	0.336403680870468	False
Gary	M	899959	0.258519379367692	0.130910923702571	0.663839915203128	True
Nicholas	M	895397	0.257208913659059	0.0511823798803068	0.834034290355952	True
Anna	F	888505	0.255229139510901	0.457296165335813	0.358203614348558	False
Eric	M	874738	0.251274474580882	0.207740247749481	0.547421384013984	True
Sandra	F	873512	0.250922297693818	0.127008127851132	0.663937806362124	True
Stephen	M	856765	0.246111607377625	0.0931095581700571	0.725519608955623	True
Ashley	F	843819	0.242392780314066	0.062333225170134	0.795445009456648	True
Emily	F	841491	0.241724046388223	0.178302016184337	0.57549773199244	True
Kimberly	F	835149	0.239902263502613	0.0210750975977734	0.919245495054007	True
Jonathan	M	833875	0.239536298287182	0.117975943166372	0.670008661279089	True
Donna	F	830704	0.238625406844377	0.0932210666229554	0.719083750841389	True
Ruth	F	823577	0.236578127338585	0.141058192916314	0.626470799151147	True
Carol	F	816169	0.234450128660472	0.141504226727907	0.623613279910732	True
Michelle	F	809254	0.232463747604971	0.120317620677235	0.658945648793483	True
Larry	M	805366	0.231346893007171	0.17294961044522	0.572220860263794	True
Laura	F	794653	0.22826951046956	0.333075748807138	0.406647257988228	False
Amanda	F	784888	0.225464447417214	0.131245449061266	0.632066700820609	True
Justin	M	773093	0.222076252977643	0.0723689859309785	0.75421920150851	True
Raymond	M	771843	0.221717181926396	0.0716999352135889	0.75563819891468	True
Scott	M	771059	0.221491972563054	0.140946684463416	0.61111575233234	True
Brandon	M	753641	0.216488532906551	0.0504018207100189	0.811151583311141	True
Melissa	F	753166	0.216352085907077	0.0808436283512472	0.727978485312283	True
Samuel	M	749990	0.215439758180067	0.0885377116012279	0.708735941302068	True
Rebecca	F	746921	0.214558166935045	0.113515605050441	0.653993660134883	True
Deborah	F	740362	0.212674049314939	0.0318914175289058	0.869599670221354	True
Stephanie	F	739285	0.212364673697184	0.0714769183077923	0.748180251516701	True
Benjamin	M	734953	0.211120277061981	0.0828507805034161	0.718166879455522	True
Sharon	F	721410	0.207229957664345	0.0711423929490975	0.744434413862143	True
Kathleen	F	711605	0.20441340433836	0.029103706206449	0.875367992784133	True
Cynthia	F	708760	0.203596158625721	0.0606605983766599	0.770448259999977	True
Gregory	M	706753	0.203019634145838	0.0351251626629557	0.85250501739428	True
Amy	F	690250	0.198279034498849	0.172838101992322	0.534276148963458	True
Shirley	F	685222	0.196834707102311	0.0438228219890209	0.817903798171261	True
Jack	M	685056	0.196787022466705	0.641954163335352	0.234621866432522	False
Henry	M	679050	0.195061757879671	0.317241548495584	0.380754438732416	False
Patrick	M	672425	0.19315868130806	0.137935956235162	0.583394170142199	True
Angela	F	663696	0.190651216342988	0.1484177508076	0.562278576966661	True
Alexander	M	661068	0.189896305364846	0.105598504894664	0.642638377296965	True
Catherine	F	658856	0.189260893232558	0.120094603771439	0.611790949459394	True
Emma	F	654013	0.187869708351605	0.178525033090133	0.512752196203337	True
Virginia	F	648386	0.18625331410731	0.0657899872099805	0.738973474533413	True
Katherine	F	635010	0.182410966602121	0.0703618337788096	0.721640011612113	True
Walter	M	620767	0.178319567415787	0.193244148872705	0.479916524673079	False
Dennis	M	617425	0.177359555053171	0.0979044216446828	0.644325338828667	True
Jerry	M	612189	0.175855478233706	0.159457087644529	0.524452394956072	True
Brenda	F	606832	0.17431664333648	0.0607721068295582	0.74149291794424	True
Pamela	F	594174	0.170680546243128	0.0472795840288673	0.783081502246	True
Frances	F	589342	0.169292521187425	0.0382473993441073	0.815710638964535	True
Nicole	F	585774	0.168267588778745	0.105710013347562	0.614165491897296	True
Christine	F	584566	0.167920582514819	0.111396944445374	0.601181688604705	True
Tyler	M	584201	0.167815733767855	0.0667935632860649	0.715298736559814	True
Aaron	M	575297	0.165257998855609	0.079951560728061	0.67394598781627	True
